severity,confidence,vuln_type,vuln_type_encoded,scanner,exploitability,asset_value,exposure,risk_score,is_false_positive,is_test_file
1,1,xxe,2,CodeScanner,2.21,5.0,4.57,4,1,0
1,2,missing_authentication,40,CodeScanner,2.34,4.87,6.45,5,0,1
2,3,ssrf,42,CodeScanner,6.41,4.51,4.26,8,0,0
3,2,command_injection,24,CodeScanner,6.03,4.52,5.56,9,0,0
2,2,csrf,96,CodeScanner,3.51,7.14,5.3,7,0,0
2,3,weak_crypto,21,CodeScanner,1.44,8.27,5.58,8,1,0
2,3,xss,48,CodeScanner,3.28,4.19,5.24,7,0,0
3,3,missing_authentication,40,CodeScanner,6.31,7.77,4.16,9,0,0
4,2,insecure_api,23,CodeScanner,3.95,8.23,7.02,9,1,0
2,3,vulnerable_dependency,71,DependencyScanner,1.4,5.66,6.25,7,0,0
1,2,xxe,2,CodeScanner,2.57,4.02,6.04,5,0,0
3,2,xss,48,CodeScanner,6.05,7.76,4.99,9,0,0
3,2,weak_crypto,21,CodeScanner,2.95,4.72,4.58,9,0,0
2,3,xxe,2,CodeScanner,6.56,5.61,4.36,8,0,0
2,3,insecure_deserialization,14,CodeScanner,3.32,4.29,7.76,8,0,0
4,3,missing_authentication,40,CodeScanner,6.12,5.59,4.97,9,0,1
1,1,weak_crypto,21,CodeScanner,5.44,6.66,7.4,6,0,0
2,1,missing_authentication,40,CodeScanner,5.63,6.08,6.61,8,0,0
2,1,sql_injection,11,CodeScanner,6.94,5.53,6.55,8,0,0
3,3,insecure_deserialization,14,CodeScanner,6.41,4.59,6.89,9,1,0
4,3,sql_injection,11,CodeScanner,5.64,4.99,6.21,9,0,0
3,3,hardcoded_secret,47,CodeScanner,3.99,6.09,6.28,9,0,1
3,2,insecure_deserialization,14,CodeScanner,6.36,5.66,5.19,9,0,0
1,2,missing_authentication,40,CodeScanner,4.78,6.67,5.35,6,1,0
2,2,xxe,2,CodeScanner,4.25,5.61,5.31,7,0,0
2,1,insecure_api,23,CodeScanner,5.18,6.93,6.07,8,0,0
2,3,ssrf,42,CodeScanner,3.81,4.17,7.66,8,0,0
2,2,insecure_deserialization,14,CodeScanner,2.99,8.07,7.03,8,1,1
4,3,weak_crypto,21,CodeScanner,5.04,9.85,7.55,9,1,0
2,3,xss,48,CodeScanner,2.28,8.76,7.76,8,0,0
4,3,insecure_api,23,CodeScanner,6.12,7.82,4.86,9,1,0
2,1,command_injection,24,CodeScanner,6.07,7.35,6.79,8,0,0
2,3,hardcoded_secret,47,CodeScanner,0.59,4.38,5.0,7,0,0
3,3,weak_crypto,21,CodeScanner,3.5,5.17,5.19,9,0,1
1,1,path_traversal,63,CodeScanner,3.26,5.35,5.17,5,0,0
1,3,hardcoded_secret,47,CodeScanner,3.16,4.67,5.59,5,0,0
4,3,path_traversal,63,CodeScanner,5.71,6.26,5.51,9,0,1
2,2,insecure_deserialization,14,CodeScanner,5.85,6.22,7.07,8,0,0
2,3,xss,48,CodeScanner,2.83,4.04,7.88,8,0,1
1,3,insecure_deserialization,14,CodeScanner,2.44,7.88,7.98,6,0,0
4,2,xxe,2,CodeScanner,7.71,7.56,5.85,9,0,0
3,2,insecure_api,23,CodeScanner,4.71,7.23,7.76,9,0,0
2,3,broken_access_control,83,CodeScanner,1.23,8.78,5.52,8,0,0
4,2,path_traversal,63,CodeScanner,6.34,5.76,6.9,9,0,0
2,1,weak_crypto,21,CodeScanner,8.16,5.07,4.45,8,0,0
1,2,insecure_deserialization,14,CodeScanner,3.04,6.35,6.56,5,0,0
1,2,insecure_api,23,CodeScanner,5.73,5.35,7.64,6,0,0
1,1,sql_injection,11,CodeScanner,4.94,5.48,5.32,5,1,0
2,2,xss,48,CodeScanner,2.51,5.23,7.5,7,0,0
3,2,path_traversal,63,CodeScanner,6.0,8.38,4.83,9,0,0
3,2,path_traversal,63,CodeScanner,4.84,4.01,7.47,9,0,1
3,3,hardcoded_secret,47,CodeScanner,9.1,4.11,5.01,9,0,0
2,1,csrf,96,CodeScanner,7.51,4.55,6.26,8,1,0
4,3,csrf,96,CodeScanner,3.59,8.61,6.35,9,0,0
3,3,xss,48,CodeScanner,8.41,6.8,4.03,9,0,0
1,1,hardcoded_secret,47,CodeScanner,3.36,9.93,5.96,5,0,0
2,2,command_injection,24,CodeScanner,6.36,5.52,4.97,8,0,1
2,1,insecure_deserialization,14,CodeScanner,5.92,7.19,7.96,8,0,0
4,2,sql_injection,11,CodeScanner,4.04,9.55,6.98,9,0,0
1,1,vulnerable_dependency,71,DependencyScanner,1.47,5.42,7.39,4,1,0
3,2,weak_crypto,21,CodeScanner,7.72,5.36,6.86,9,0,0
2,2,sql_injection,11,CodeScanner,5.4,5.87,4.47,8,0,0
2,1,missing_authentication,40,CodeScanner,3.47,6.26,6.83,7,1,0
2,3,hardcoded_secret,47,CodeScanner,3.02,4.38,5.59,7,0,0
2,3,ssrf,42,CodeScanner,2.19,6.48,7.84,8,0,0
2,3,xxe,2,CodeScanner,6.49,9.62,7.73,9,0,0
4,3,missing_authentication,40,CodeScanner,9.3,9.52,7.64,9,0,1
1,1,security_misconfiguration,62,InfrastructureScanner,2.31,7.2,6.16,5,0,0
2,1,weak_crypto,21,CodeScanner,7.74,4.1,7.65,8,0,0
2,3,hardcoded_secret,47,CodeScanner,0.25,4.53,7.84,7,0,1
2,1,insecure_api,23,CodeScanner,6.89,5.05,5.87,8,1,0
2,2,missing_authentication,40,CodeScanner,0.71,6.3,4.41,6,1,0
3,2,xss,48,CodeScanner,8.06,5.98,4.11,9,0,0
2,2,vulnerable_dependency,71,DependencyScanner,3.04,7.16,7.42,8,0,0
1,2,csrf,96,CodeScanner,3.59,7.26,4.83,5,1,1
2,3,hardcoded_secret,47,CodeScanner,4.88,4.1,7.32,8,0,0
2,2,broken_access_control,83,CodeScanner,6.47,6.68,7.2,9,1,0
2,2,csrf,96,CodeScanner,4.04,9.7,6.76,8,0,0
1,2,weak_crypto,21,CodeScanner,1.08,7.42,5.05,5,0,0
2,2,command_injection,24,CodeScanner,0.78,4.14,4.67,6,1,0
1,1,hardcoded_secret,47,CodeScanner,3.05,6.85,5.59,5,1,0
3,2,missing_authentication,40,CodeScanner,6.52,5.0,7.08,9,1,1
2,3,sql_injection,11,CodeScanner,5.51,9.9,4.02,9,0,1
1,1,vulnerable_dependency,71,DependencyScanner,4.0,7.62,7.2,5,0,0
2,3,insecure_deserialization,14,CodeScanner,2.51,4.13,6.35,7,0,0
1,1,insecure_deserialization,14,CodeScanner,3.72,5.42,7.45,5,1,0
2,2,security_misconfiguration,62,InfrastructureScanner,5.08,7.59,7.32,8,0,0
2,3,missing_authentication,40,CodeScanner,6.44,7.07,7.48,9,0,1
3,3,path_traversal,63,CodeScanner,3.07,4.28,5.35,9,0,0
4,3,sql_injection,11,CodeScanner,8.34,9.96,5.71,9,0,0
1,3,insecure_api,23,CodeScanner,1.4,6.71,7.96,6,0,0
1,2,missing_authentication,40,CodeScanner,4.6,7.56,7.12,6,1,0
3,3,ssrf,42,CodeScanner,8.37,6.99,7.59,9,0,0
2,2,path_traversal,63,CodeScanner,5.32,6.59,7.24,8,0,0
3,2,vulnerable_dependency,71,DependencyScanner,5.64,7.89,5.33,9,0,0
2,2,command_injection,24,CodeScanner,5.03,4.8,7.51,8,0,0
3,2,sql_injection,11,CodeScanner,6.53,6.88,5.86,9,1,0
3,3,vulnerable_dependency,71,DependencyScanner,2.97,5.58,5.25,9,0,0
3,3,missing_authentication,40,CodeScanner,6.65,6.89,5.37,9,0,0
1,1,path_traversal,63,CodeScanner,2.33,7.22,7.41,5,0,0
2,1,insecure_api,23,CodeScanner,5.74,5.34,5.09,7,0,0
1,2,path_traversal,63,CodeScanner,0.26,7.39,7.47,5,1,0
1,2,path_traversal,63,CodeScanner,3.47,6.68,4.92,5,1,0
2,2,broken_access_control,83,CodeScanner,4.85,7.46,5.81,8,1,0
4,2,path_traversal,63,CodeScanner,5.65,7.38,6.74,9,0,0
3,3,broken_access_control,83,CodeScanner,3.9,6.04,5.58,9,0,0
2,3,vulnerable_dependency,71,DependencyScanner,2.78,5.43,6.5,8,0,0
1,3,security_misconfiguration,62,InfrastructureScanner,3.55,8.47,7.07,6,0,0
2,3,security_misconfiguration,62,InfrastructureScanner,4.02,8.12,6.09,8,0,0
